A001ABANO TERME                                       PD35031D3AB
A823BESENZONE                                         PC29010H6AD
A825BESNATE                                           VA21010C9AW
A826BESOZZO                                           VA21023C9AX
A827BESSUDE                                           SS07040V3AL
A831BETTOLA                                           PC29021H6AE
A832BETTONA                                           PG06084L1AD
A835BEVAGNA                                           PG06031L1AE
A836BEVERINO                                          SP19020G3AD
A837BEVILACQUA                                        VR37040D6AK
A839BEZZECCA                                          TN38060E1AY
A841BIANCAVILLA                                       CT95033U4AI
A842BIANCHI                                           CS87050T3AS
A843BIANCO                                            RC89032T1AJ
A844BIANDRATE                                         NO28061A5BI
A845BIANDRONNO                                        VA21024C9AY
A847BIANZE'                                           VC13041A6AP
A848BIANZONE                                          SO23030C8AJ
A849BIASSONO                                          MI20046C1BM
A850BIBBIANO                                          RE42021H8AE
A851BIBBIENA                                          AR52011I2AD
A852BIBBONA                                           LI57020I4AB
A853BIBIANA                                           TO10060A1BH
A854BICCARI                                           FG71032R3AG
A855BICINICCO                                         UD33050F6AM
A856BIDONI'                                           OR09080V4AP
A861BIENNO                                            BS25040C3BB
A863BIENO                                             TN38050E1BA
A864BIENTINA                                          PI56031I7AD
A866BIGARELLO                                         MN46030C6AE
A870BINAGO                                            CO22070C4BS
A872BINASCO                                           MI20082C1BP
A874BINETTO                                           BA70020R1AH
A877BIONAZ                                            AO11010B1AK
A878BIONE                                             BS25070C3BC
A880BIRORI                                            NU08010V2AJ
A881BISACCIA                                          AV83044Q2AL
A882BISACQUINO                                        PA90032U1AK
A883BISCEGLIE                                         BA70052R1AI
A884BISEGNA                                           AQ67050N1AN
A885BISENTI                                           TE64033N4AH
A887BISIGNANO                                         CS87043T3AT
A889BISTAGNO                                          AL15012A2AY
A891BISUSCHIO                                         VA21050C9BA
